time,omega,cmd
6.399852514266967773e+00,6.467809709570644827e+01,5.000000000000000000e-01
6.449735641479492188e+00,6.521410342522888470e+01,5.000000000000000000e-01
6.499805212020874023e+00,6.515454716639305843e+01,5.000000000000000000e-01
6.549959182739257812e+00,6.521410342522887049e+01,5.000000000000000000e-01
6.599914550781250000e+00,6.521410342522887049e+01,5.000000000000000000e-01
6.649701595306396484e+00,6.515454716639304422e+01,5.000000000000000000e-01
6.699878692626953125e+00,6.461854083687060779e+01,5.000000000000000000e-01
6.749892950057983398e+00,6.432075954269149065e+01,5.000000000000000000e-01
6.799656629562377930e+00,6.408253450734818557e+01,5.000000000000000000e-01
6.849783658981323242e+00,6.408253450734818557e+01,5.000000000000000000e-01
6.899681806564331055e+00,6.384430947200488760e+01,5.000000000000000000e-01
6.949658393859863281e+00,6.426120328385566438e+01,5.000000000000000000e-01
6.999655485153198242e+00,6.402297824851235930e+01,5.000000000000000000e-01
7.050136804580688477e+00,6.384430947200489470e+01,5.000000000000000000e-01
7.099743127822875977e+00,6.396342198967654724e+01,5.000000000000000000e-01
7.149862527847290039e+00,6.360608443666158962e+01,5.000000000000000000e-01
7.200026035308837891e+00,6.324874688364663911e+01,5.000000000000000000e-01
7.249998092651367188e+00,6.366564069549741589e+01,5.000000000000000000e-01
7.299846172332763672e+00,6.396342198967654724e+01,5.000000000000000000e-01
7.349852323532104492e+00,6.360608443666158252e+01,5.000000000000000000e-01
7.399823904037475586e+00,6.432075954269149065e+01,5.000000000000000000e-01
7.449856042861938477e+00,6.467809709570644827e+01,5.000000000000000000e-01
7.499986886978149414e+00,6.467809709570641985e+01,5.000000000000000000e-01
7.549844264984130859e+00,6.461854083687062200e+01,5.000000000000000000e-01
7.599893808364868164e+00,6.467809709570644827e+01,5.000000000000000000e-01
7.649813413619995117e+00,6.443987206036315740e+01,5.000000000000000000e-01
7.700017690658569336e+00,6.443987206036312898e+01,5.000000000000000000e-01
7.749837875366210938e+00,6.438031580152730271e+01,5.000000000000000000e-01
7.799752235412597656e+00,6.432075954269149065e+01,5.000000000000000000e-01
7.849770307540893555e+00,6.438031580152731692e+01,5.000000000000000000e-01
7.899789333343505859e+00,6.432075954269149065e+01,5.000000000000000000e-01
7.949999094009399414e+00,6.438031580152731692e+01,5.000000000000000000e-01
7.999822854995727539e+00,6.467809709570643406e+01,5.000000000000000000e-01
